Nest,NumAnts,NestType,Pheromone Strength,Simulation,
R1,0,R,0,0,FALSE
R2,1,R,0,0,FALSE
R3,0,R,0,0,FALSE
R4,1,R,0,0,FALSE
D1,1,D,0,0,FALSE
D3,2,D,0,0,FALSE
D2,0,D,0,0,FALSE
D4,0,D,0,0,FALSE
R1,0,R,0,1,FALSE
R2,1,R,0,1,FALSE
R3,0,R,0,1,FALSE
R4,1,R,0,1,FALSE
D1,0,D,0,1,FALSE
D3,0,D,0,1,FALSE
D2,0,D,0,1,FALSE
D4,0,D,0,1,FALSE
R1,0,R,0,2,FALSE
R2,1,R,0,2,FALSE
R3,0,R,0,2,FALSE
R4,0,R,0,2,FALSE
D1,0,D,0,2,FALSE
D3,1,D,0,2,FALSE
D2,0,D,0,2,FALSE
D4,0,D,0,2,FALSE
R1,1,R,0,3,FALSE
R2,0,R,0,3,FALSE
R3,2,R,0,3,FALSE
R4,0,R,0,3,FALSE
D1,0,D,0,3,FALSE
D3,0,D,0,3,FALSE
D2,0,D,0,3,FALSE
D4,1,D,0,3,FALSE
R1,0,R,0,4,FALSE
R2,1,R,0,4,FALSE
R3,0,R,0,4,FALSE
R4,0,R,0,4,FALSE
D1,0,D,0,4,FALSE
D3,0,D,0,4,FALSE
D2,1,D,0,4,FALSE
D4,2,D,0,4,FALSE
R1,1,R,0,5,FALSE
R2,1,R,0,5,FALSE
R3,1,R,0,5,FALSE
R4,1,R,0,5,FALSE
D1,0,D,0,5,FALSE
D3,0,D,0,5,FALSE
D2,0,D,0,5,FALSE
D4,1,D,0,5,FALSE
R1,0,R,0,6,FALSE
R2,2,R,0,6,FALSE
R3,0,R,0,6,FALSE
R4,1,R,0,6,FALSE
D1,0,D,0,6,FALSE
D3,1,D,0,6,FALSE
D2,0,D,0,6,FALSE
D4,0,D,0,6,FALSE
R1,0,R,0,7,FALSE
R2,0,R,0,7,FALSE
R3,1,R,0,7,FALSE
R4,2,R,0,7,FALSE
D1,0,D,0,7,FALSE
D3,1,D,0,7,FALSE
D2,0,D,0,7,FALSE
D4,1,D,0,7,FALSE
R1,0,R,0,8,FALSE
R2,2,R,0,8,FALSE
R3,1,R,0,8,FALSE
R4,0,R,0,8,FALSE
D1,0,D,0,8,FALSE
D3,0,D,0,8,FALSE
D2,0,D,0,8,FALSE
D4,1,D,0,8,FALSE
R1,1,R,0,9,FALSE
R2,0,R,0,9,FALSE
R3,1,R,0,9,FALSE
R4,0,R,0,9,FALSE
D1,0,D,0,9,FALSE
D3,1,D,0,9,FALSE
D2,0,D,0,9,FALSE
D4,1,D,0,9,FALSE
R1,1,R,0,10,FALSE
R2,1,R,0,10,FALSE
R3,1,R,0,10,FALSE
R4,1,R,0,10,FALSE
D1,0,D,0,10,FALSE
D3,0,D,0,10,FALSE
D2,0,D,0,10,FALSE
