Nest,NumAnts,NestType,Pheromone Strength,Simulation,
R1,49,R,20,0,FALSE
R2,0,R,20,0,FALSE
R3,5,R,20,0,FALSE
R4,0,R,20,0,FALSE
D1,46,D,20,0,FALSE
D3,0,D,20,0,FALSE
D2,0,D,20,0,FALSE
D4,0,D,20,0,FALSE
R1,38,R,20,1,FALSE
R2,0,R,20,1,FALSE
R3,6,R,20,1,FALSE
R4,0,R,20,1,FALSE
D1,56,D,20,1,FALSE
D3,0,D,20,1,FALSE
D2,0,D,20,1,FALSE
D4,0,D,20,1,FALSE
R1,52,R,20,2,FALSE
R2,0,R,20,2,FALSE
R3,5,R,20,2,FALSE
R4,0,R,20,2,FALSE
D1,43,D,20,2,FALSE
D3,0,D,20,2,FALSE
D2,0,D,20,2,FALSE
D4,0,D,20,2,FALSE
R1,42,R,20,3,FALSE
R2,0,R,20,3,FALSE
R3,2,R,20,3,FALSE
R4,0,R,20,3,FALSE
D1,56,D,20,3,FALSE
D3,0,D,20,3,FALSE
D2,0,D,20,3,FALSE
D4,0,D,20,3,FALSE
R1,47,R,20,4,FALSE
R2,0,R,20,4,FALSE
R3,5,R,20,4,FALSE
R4,0,R,20,4,FALSE
D1,48,D,20,4,FALSE
D3,0,D,20,4,FALSE
D2,0,D,20,4,FALSE
D4,0,D,20,4,FALSE
R1,42,R,20,5,FALSE
R2,0,R,20,5,FALSE
R3,4,R,20,5,FALSE
R4,0,R,20,5,FALSE
D1,54,D,20,5,FALSE
D3,0,D,20,5,FALSE
D2,0,D,20,5,FALSE
D4,0,D,20,5,FALSE
R1,37,R,20,6,FALSE
R2,0,R,20,6,FALSE
R3,4,R,20,6,FALSE
R4,0,R,20,6,FALSE
D1,59,D,20,6,FALSE
D3,0,D,20,6,FALSE
D2,0,D,20,6,FALSE
D4,0,D,20,6,FALSE
R1,49,R,20,7,FALSE
R2,0,R,20,7,FALSE
R3,2,R,20,7,FALSE
R4,0,R,20,7,FALSE
D1,49,D,20,7,FALSE
D3,0,D,20,7,FALSE
D2,0,D,20,7,FALSE
D4,0,D,20,7,FALSE
R1,43,R,20,8,FALSE
R2,0,R,20,8,FALSE
R3,5,R,20,8,FALSE
R4,0,R,20,8,FALSE
D1,52,D,20,8,FALSE
D3,0,D,20,8,FALSE
D2,0,D,20,8,FALSE
D4,0,D,20,8,FALSE
R1,37,R,20,9,FALSE
R2,0,R,20,9,FALSE
R3,1,R,20,9,FALSE
R4,0,R,20,9,FALSE
D1,62,D,20,9,FALSE
D3,0,D,20,9,FALSE
D2,0,D,20,9,FALSE
D4,0,D,20,9,FALSE
R1,48,R,20,10,FALSE
R2,0,R,20,10,FALSE
R3,8,R,20,10,FALSE
R4,0,R,20,10,FALSE
D1,44,D,20,10,FALSE
D3,0,D,20,10,FALSE
D2,0,D,20,10,FALSE
D4,0,D,20,10,FALSE
R1,40,R,20,11,FALSE
R2,0,R,20,11,FALSE
R3,9,R,20,11,FALSE
R4,0,R,20,11,FALSE
D1,51,D,20,11,FALSE
D3,0,D,20,11,FALSE
D2,0,D,20,11,FALSE
D4,0,D,20,11,FALSE
R1,47,R,20,12,FALSE
R2,0,R,20,12,FALSE
R3,7,R,20,12,FALSE
R4,0,R,20,12,FALSE
D1,46,D,20,12,FALSE
D3,0,D,20,12,FALSE
D2,0,D,20,12,FALSE
