Nest,NumAnts ,NestType,PheromoneStrength,Simulation,
R1,4,R,20,0,FALSE
R2,6,R,20,0,FALSE
R3,1,R,20,0,FALSE
D2,1,D,20,0,FALSE
D1,2,D,20,0,FALSE
D3,1,D,20,0,FALSE
R1,2,R,20,1,FALSE
R2,3,R,20,1,FALSE
R3,1,R,20,1,FALSE
D2,2,D,20,1,FALSE
D1,2,D,20,1,FALSE
D3,2,D,20,1,FALSE
R1,2,R,20,2,FALSE
R2,5,R,20,2,FALSE
R3,2,R,20,2,FALSE
D2,1,D,20,2,FALSE
D1,0,D,20,2,FALSE
D3,6,D,20,2,FALSE
R1,2,R,20,3,FALSE
R2,1,R,20,3,FALSE
R3,6,R,20,3,FALSE
D2,2,D,20,3,FALSE
D1,4,D,20,3,FALSE
D3,1,D,20,3,FALSE
R1,0,R,20,4,FALSE
R2,2,R,20,4,FALSE
R3,5,R,20,4,FALSE
D2,5,D,20,4,FALSE
D1,1,D,20,4,FALSE
D3,3,D,20,4,FALSE
R1,3,R,20,5,FALSE
R2,1,R,20,5,FALSE
R3,4,R,20,5,FALSE
D2,1,D,20,5,FALSE
D1,3,D,20,5,FALSE
D3,4,D,20,5,FALSE
R1,1,R,20,6,FALSE
R2,5,R,20,6,FALSE
R3,5,R,20,6,FALSE
D2,1,D,20,6,FALSE
D1,1,D,20,6,FALSE
D3,0,D,20,6,FALSE
R1,3,R,20,7,FALSE
R2,5,R,20,7,FALSE
R3,5,R,20,7,FALSE
D2,1,D,20,7,FALSE
D1,0,D,20,7,FALSE
D3,2,D,20,7,FALSE
R1,3,R,20,8,FALSE
R2,6,R,20,8,FALSE
R3,3,R,20,8,FALSE
D2,3,D,20,8,FALSE
D1,2,D,20,8,FALSE
D3,1,D,20,8,FALSE
R1,3,R,20,9,FALSE
R2,3,R,20,9,FALSE
R3,2,R,20,9,FALSE
D2,4,D,20,9,FALSE
D1,2,D,20,9,FALSE
D3,1,D,20,9,FALSE
R1,4,R,20,10,FALSE
R2,1,R,20,10,FALSE
R3,1,R,20,10,FALSE
D2,1,D,20,10,FALSE
D1,0,D,20,10,FALSE
D3,2,D,20,10,FALSE
R1,0,R,20,11,FALSE
R2,1,R,20,11,FALSE
R3,0,R,20,11,FALSE
D2,1,D,20,11,FALSE
D1,1,D,20,11,FALSE
D3,4,D,20,11,FALSE
R1,3,R,20,12,FALSE
R2,1,R,20,12,FALSE
R3,4,R,20,12,FALSE
D2,1,D,20,12,FALSE
D1,4,D,20,12,FALSE
D3,4,D,20,12,FALSE
R1,1,R,20,13,FALSE
R2,2,R,20,13,FALSE
R3,1,R,20,13,FALSE
D2,1,D,20,13,FALSE
D1,2,D,20,13,FALSE
D3,3,D,20,13,FALSE
R1,3,R,20,14,FALSE
R2,5,R,20,14,FALSE
R3,3,R,20,14,FALSE
D2,3,D,20,14,FALSE
D1,2,D,20,14,FALSE
D3,0,D,20,14,FALSE
R1,3,R,20,15,FALSE
R2,1,R,20,15,FALSE
R3,2,R,20,15,FALSE
D2,0,D,20,15,FALSE
D1,1,D,20,15,FALSE
D3,1,D,20,15,FALSE
R1,3,R,20,16,FALSE
R2,2,R,20,16,FALSE
R3,1,R,20,16,FALSE
D2,3,D,20,16,FALSE
D1,5,D,20,16,FALSE
D3,6,D,20,16,FALSE
R1,4,R,20,17,FALSE
R2,1,R,20,17,FALSE
R3,0,R,20,17,FALSE
D2,2,D,20,17,FALSE
D1,1,D,20,17,FALSE
D3,2,D,20,17,FALSE
R1,3,R,20,18,FALSE
R2,4,R,20,18,FALSE
R3,2,R,20,18,FALSE
D2,1,D,20,18,FALSE
D1,2,D,20,18,FALSE
D3,3,D,20,18,FALSE
R1,1,R,20,19,FALSE
R2,3,R,20,19,FALSE
R3,2,R,20,19,FALSE
D2,2,D,20,19,FALSE
D1,3,D,20,19,FALSE
D3,2,D,20,19,FALSE
R1,2,R,20,20,FALSE
R2,3,R,20,20,FALSE
R3,4,R,20,20,FALSE
D2,2,D,20,20,FALSE
D1,2,D,20,20,FALSE
D3,2,D,20,20,FALSE
R1,6,R,20,21,FALSE
R2,0,R,20,21,FALSE
R3,2,R,20,21,FALSE
D2,1,D,20,21,FALSE
D1,1,D,20,21,FALSE
D3,4,D,20,21,FALSE
R1,1,R,20,22,FALSE
R2,1,R,20,22,FALSE
R3,0,R,20,22,FALSE
D2,1,D,20,22,FALSE
D1,1,D,20,22,FALSE
D3,1,D,20,22,FALSE
R1,3,R,20,23,FALSE
R2,1,R,20,23,FALSE
R3,2,R,20,23,FALSE
D2,1,D,20,23,FALSE
D1,2,D,20,23,FALSE
D3,0,D,20,23,FALSE
R1,4,R,20,24,FALSE
R2,1,R,20,24,FALSE
R3,3,R,20,24,FALSE
D2,2,D,20,24,FALSE
D1,5,D,20,24,FALSE
D3,2,D,20,24,FALSE
R1,0,R,20,25,FALSE
R2,2,R,20,25,FALSE
R3,0,R,20,25,FALSE
D2,4,D,20,25,FALSE
D1,2,D,20,25,FALSE
D3,5,D,20,25,FALSE
R1,6,R,20,26,FALSE
R2,1,R,20,26,FALSE
R3,1,R,20,26,FALSE
D2,1,D,20,26,FALSE
D1,1,D,20,26,FALSE
D3,6,D,20,26,FALSE
R1,2,R,20,27,FALSE
R2,3,R,20,27,FALSE
R3,0,R,20,27,FALSE
D2,4,D,20,27,FALSE
D1,0,D,20,27,FALSE
D3,2,D,20,27,FALSE
R1,1,R,20,28,FALSE
R2,1,R,20,28,FALSE
R3,0,R,20,28,FALSE
D2,1,D,20,28,FALSE
D1,3,D,20,28,FALSE
D3,1,D,20,28,FALSE
R1,5,R,20,29,FALSE
R2,1,R,20,29,FALSE
R3,1,R,20,29,FALSE
D2,1,D,20,29,FALSE
D1,2,D,20,29,FALSE
D3,0,D,20,29,FALSE
R1,6,R,20,30,FALSE
R2,3,R,20,30,FALSE
R3,2,R,20,30,FALSE
D2,8,D,20,30,FALSE
D1,2,D,20,30,FALSE
D3,0,D,20,30,FALSE
R1,2,R,20,31,FALSE
R2,3,R,20,31,FALSE
R3,2,R,20,31,FALSE
D2,2,D,20,31,FALSE
D1,2,D,20,31,FALSE
D3,0,D,20,31,FALSE
R1,0,R,20,32,FALSE
R2,1,R,20,32,FALSE
R3,2,R,20,32,FALSE
D2,2,D,20,32,FALSE
D1,1,D,20,32,FALSE
D3,4,D,20,32,FALSE
R1,0,R,20,33,FALSE
R2,0,R,20,33,FALSE
R3,2,R,20,33,FALSE
D2,2,D,20,33,FALSE
D1,5,D,20,33,FALSE
D3,2,D,20,33,FALSE
R1,1,R,20,34,FALSE
R2,4,R,20,34,FALSE
R3,0,R,20,34,FALSE
D2,2,D,20,34,FALSE
D1,3,D,20,34,FALSE
D3,1,D,20,34,FALSE
R1,0,R,20,35,FALSE
R2,3,R,20,35,FALSE
R3,5,R,20,35,FALSE
D2,1,D,20,35,FALSE
D1,3,D,20,35,FALSE
D3,4,D,20,35,FALSE
R1,1,R,20,36,FALSE
R2,1,R,20,36,FALSE
R3,1,R,20,36,FALSE
D2,4,D,20,36,FALSE
D1,1,D,20,36,FALSE
D3,2,D,20,36,FALSE
R1,5,R,20,37,FALSE
R2,1,R,20,37,FALSE
R3,0,R,20,37,FALSE
D2,1,D,20,37,FALSE
D1,7,D,20,37,FALSE
D3,3,D,20,37,FALSE
R1,1,R,20,38,FALSE
R2,1,R,20,38,FALSE
R3,2,R,20,38,FALSE
D2,3,D,20,38,FALSE
D1,2,D,20,38,FALSE
D3,1,D,20,38,FALSE
R1,1,R,20,39,FALSE
R2,8,R,20,39,FALSE
R3,2,R,20,39,FALSE
D2,5,D,20,39,FALSE
D1,0,D,20,39,FALSE
D3,5,D,20,39,FALSE
R1,3,R,20,40,FALSE
R2,2,R,20,40,FALSE
R3,6,R,20,40,FALSE
D2,2,D,20,40,FALSE
D1,1,D,20,40,FALSE
D3,2,D,20,40,FALSE
R1,3,R,20,41,FALSE
R2,3,R,20,41,FALSE
R3,2,R,20,41,FALSE
D2,0,D,20,41,FALSE
D1,0,D,20,41,FALSE
D3,0,D,20,41,FALSE
R1,1,R,20,42,FALSE
R2,1,R,20,42,FALSE
R3,0,R,20,42,FALSE
D2,1,D,20,42,FALSE
D1,3,D,20,42,FALSE
D3,3,D,20,42,FALSE
R1,4,R,20,43,FALSE
R2,2,R,20,43,FALSE
R3,6,R,20,43,FALSE
D2,4,D,20,43,FALSE
D1,1,D,20,43,FALSE
D3,3,D,20,43,FALSE
R1,2,R,20,44,FALSE
R2,1,R,20,44,FALSE
R3,2,R,20,44,FALSE
D2,3,D,20,44,FALSE
D1,2,D,20,44,FALSE
D3,2,D,20,44,FALSE
R1,2,R,20,45,FALSE
R2,5,R,20,45,FALSE
R3,3,R,20,45,FALSE
D2,3,D,20,45,FALSE
D1,4,D,20,45,FALSE
D3,1,D,20,45,FALSE
R1,3,R,20,46,FALSE
R2,2,R,20,46,FALSE
R3,6,R,20,46,FALSE
D2,3,D,20,46,FALSE
D1,1,D,20,46,FALSE
D3,2,D,20,46,FALSE
R1,0,R,20,47,FALSE
R2,2,R,20,47,FALSE
R3,4,R,20,47,FALSE
D2,2,D,20,47,FALSE
D1,4,D,20,47,FALSE
D3,2,D,20,47,FALSE
R1,0,R,20,48,FALSE
R2,3,R,20,48,FALSE
R3,4,R,20,48,FALSE
D2,1,D,20,48,FALSE
D1,5,D,20,48,FALSE
D3,1,D,20,48,FALSE
R1,4,R,20,49,FALSE
R2,0,R,20,49,FALSE
R3,0,R,20,49,FALSE
D2,3,D,20,49,FALSE
D1,2,D,20,49,FALSE
D3,1,D,20,49,FALSE
R1,3,R,20,50,FALSE
R2,4,R,20,50,FALSE
R3,3,R,20,50,FALSE
D2,4,D,20,50,FALSE
D1,4,D,20,50,FALSE
D3,2,D,20,50,FALSE
